id,value
city,
city.analytics,
city.analytics.cluster,
city.analytics.cluster.AgglomerativeCluster,3938
city.analytics.cluster.CommunityStructure,3812
city.analytics.cluster.HierarchicalCluster,6714
city.analytics.cluster.MergeEdge,743
city.analytics.graph,
city.analytics.graph.BetweennessCentrality,3534
city.analytics.graph.LinkDistance,5731
city.analytics.graph.MaxFlowMinCut,7840
city.analytics.graph.ShortestPaths,5914
city.analytics.graph.SpanningTree,3416
city.analytics.optimization,
city.analytics.optimization.AspectRatioBanker,7074
city.animate,
city.animate.Easing,17010
city.animate.FunctionSequence,5842
city.animate.interpolate,
city.animate.interpolate.ArrayInterpolator,1983
city.animate.interpolate.ColorInterpolator,2047
city.animate.interpolate.DateInterpolator,1375
city.animate.interpolate.Interpolator,8746
city.animate.interpolate.MatrixInterpolator,2202
city.animate.interpolate.NumberInterpolator,1382
city.animate.interpolate.ObjectInterpolator,1629
city.animate.interpolate.PointInterpolator,1675
city.animate.interpolate.RectangleInterpolator,2042
city.animate.ISchedulable,1041
city.animate.Parallel,5176
city.animate.Pause,449
city.animate.Scheduler,5593
city.animate.Sequence,5534
city.animate.Transition,9201
city.animate.Transitioner,19975
city.animate.TransitionEvent,1116
city.animate.Tween,6006
city.data,
city.data.converters,
city.data.converters.Converters,721
city.data.converters.DelimitedTextConverter,4294
city.data.converters.GraphMLConverter,9800
city.data.converters.IDataConverter,1314
city.data.converters.JSONConverter,2220
city.data.DataField,1759
city.data.DataSchema,2165
city.data.DataSet,586
city.data.DataSource,3331
city.data.DataTable,772
city.data.DataUtil,3322
city.display,
city.display.DirtySprite,8833
city.display.LineSprite,1732
city.display.RectSprite,3623
city.display.TextSprite,10066
city.flex,
city.flex.cityVis,4116
city.physics,
city.physics.DragForce,1082
city.physics.GravityForce,1336
city.physics.IForce,319
city.physics.NBodyForce,10498
city.physics.Particle,2822
city.physics.Simulation,9983
city.physics.Spring,2213
city.physics.SpringForce,1681
city.query,
city.query.AggregateExpression,1616
city.query.And,1027
city.query.Arithmetic,3891
city.query.Average,891
city.query.BinaryExpression,2893
city.query.Comparison,5103
city.query.CompositeExpression,3677
city.query.Count,781
city.query.DateUtil,4141
city.query.Distinct,933
city.query.Expression,5130
city.query.ExpressionIterator,3617
city.query.Fn,3240
city.query.If,2732
city.query.IsA,2039
city.query.Literal,1214
city.query.Match,3748
city.query.Maximum,843
city.query.methods,
city.query.methods.add,593
city.query.methods.and,330
city.query.methods.average,287
city.query.methods.count,277
city.query.methods.distinct,292
city.query.methods.div,595
city.query.methods.eq,594
city.query.methods.fn,460
city.query.methods.gt,603
city.query.methods.gte,625
city.query.methods.iff,748
city.query.methods.isa,461
city.query.methods.lt,597
city.query.methods.lte,619
city.query.methods.max,283
city.query.methods.min,283
city.query.methods.mod,591
city.query.methods.mul,603
city.query.methods.neq,599
city.query.methods.not,386
city.query.methods.or,323
city.query.methods.orderby,307
city.query.methods.range,772
city.query.methods.select,296
city.query.methods.stddev,363
city.query.methods.sub,600
city.query.methods.sum,280
city.query.methods.update,307
city.query.methods.variance,335
city.query.methods.where,299
city.query.methods.xor,354
city.query.methods._,264
city.query.Minimum,843
city.query.Not,1554
city.query.Or,970
city.query.Query,13896
city.query.Range,1594
city.query.StringUtil,4130
city.query.Sum,791
city.query.Variable,1124
city.query.Variance,1876
city.query.Xor,1101
city.scale,
city.scale.IScaleMap,2105
city.scale.LinearScale,1316
city.scale.LogScale,3151
city.scale.OrdinalScale,3770
city.scale.QuantileScale,2435
city.scale.QuantitativeScale,4839
city.scale.RootScale,1756
city.scale.Scale,4268
city.scale.ScaleType,1821
city.scale.TimeScale,5833
city.util,
city.util.Arrays,8258
city.util.Colors,10001
city.util.Dates,8217
city.util.Displays,12555
city.util.Filter,2324
city.util.Geometry,10993
city.util.heap,
city.util.heap.FibonacciHeap,9354
city.util.heap.HeapNode,1233
city.util.IEvaluable,335
city.util.IPredicate,383
city.util.IValueProxy,874
city.util.math,
city.util.math.DenseMatrix,3165
city.util.math.IMatrix,2815
city.util.math.SparseMatrix,3366
city.util.Maths,17705
city.util.Orientation,1486
city.util.palette,
city.util.palette.ColorPalette,6367
city.util.palette.Palette,1229
city.util.palette.ShapePalette,2059
city.util.palette.SizePalette,2291
city.util.Property,5559
city.util.Shapes,19118
city.util.Sort,6887
city.util.Stats,6557
city.util.Strings,22026
city.vis,
city.vis.axis,
city.vis.axis.Axes,1302
city.vis.axis.Axis,24593
city.vis.axis.AxisGridLine,652
city.vis.axis.AxisLabel,636
city.vis.axis.CartesianAxes,6703
city.vis.controls,
city.vis.controls.AnchorControl,2138
city.vis.controls.ClickControl,3824
